Log data created at: Sunday, March 12, 2017 20:48:58
Score: 	 Turn: 	 	 Genes: 
216 	 	 534 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
181 	 	 651 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
155 	 	 387 	 	 RunAwayFromGhost2, 
144 	 	 265 	 	 RunAwayFromGhost2, 
143 	 	 299 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
137 	 	 349 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
60 	 	 61 	 	 GoWhereFoodIs, 
46 	 	 137 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
46 	 	 53 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
46 	 	 159 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
46 	 	 137 	 	 RunAwayFromGhost2, GoStraight, 
45 	 	 159 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
45 	 	 151 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
45 	 	 151 	 	 RunAwayFromGhost2, GoSameDirection, GoStraight, 
45 	 	 151 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
45 	 	 151 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
45 	 	 65 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
45 	 	 158 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
42 	 	 121 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
35 	 	 214 	 	 RunAwayFromGhost2, GoStraight, 
30 	 	 44 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
30 	 	 44 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
26 	 	 38 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
23 	 	 32 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
21 	 	 21 	 	 GoWhereFoodIs, 
21 	 	 21 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
21 	 	 21 	 	 GoWhereFoodIs, GoSameDirection, 
21 	 	 25 	 	 GoStraight, 
21 	 	 21 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoStraight, 
20 	 	 20 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
20 	 	 40 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
20 	 	 30 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, GoStraight, 
20 	 	 20 	 	 GoWhereFoodIs, GoSameDirection, 
20 	 	 20 	 	 RunAwayFromGhost1, GoSameDirection, 
18 	 	 24 	 	 GoStraight, 
16 	 	 21 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
16 	 	 18 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, 
14 	 	 25 	 	 GoStraight, 
12 	 	 16 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
12 	 	 12 	 	 RunAwayFromGhost1, GoSameDirection, GoStraight, 
12 	 	 12 	 	 GoWhereFoodIs, 
12 	 	 16 	 	 RunAwayFromGhost1, GoStraight, 
12 	 	 16 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
12 	 	 16 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
12 	 	 12 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
12 	 	 12 	 	 GoWhereFoodIs, RunAwayFromGhost1, GoSameDirection, GoStraight, 
10 	 	 10 	 	 GoWhereFoodIs, 
10 	 	 10 	 	 GoWhereFoodIs, GoSameDirection, 
7 	 	 16 	 	 RunAwayFromGhost1, 
7 	 	 14 	 	 RunAwayFromGhost1, 
Log ended. 

Log data created at: Sunday, March 12, 2017 21:01:58
Score: 	 Turn: 	 	 Genes: 
176 	 	 344 	 	 GoWhereFoodIs, RunAwayFromGhost1, 
151 	 	 320 	 	 GoWhereFoodIs, GoSameDirection, 
144 	 	 190 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
140 	 	 199 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
132 	 	 161 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoStraight, 
126 	 	 259 	 	 GoSameDirection, 
120 	 	 184 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
110 	 	 141 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
102 	 	 132 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
95 	 	 233 	 	 GoWhereFoodIs, 
92 	 	 220 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
88 	 	 93 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
85 	 	 92 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
